Gene_Name,logFC,AveExpr,t,P.Value,adj.P.Val,B
MCM10,1.67354402575822,4.87321569765427,3.55255943022192,0.00392626813101804,0.0190917060016661,-2.76038076907604
OFD1,1.13953857802851,4.3258953612582,3.55170945372907,0.0039324369778679,0.0191106429765963,-2.67141677076542
KHDRBS1,0.610638036839338,7.83631802429105,3.55125067997034,0.00393577071037554,0.0191157880889772,-2.84819835230031
STRA13,0.580813390954432,5.22001370901007,3.55076504245237,0.00393930279076278,0.0191218900631914,-2.80358960514018
NIF3L1,0.743640908996019,5.04512091555242,3.54935333090313,0.00394958864226528,0.0191662827413422,-2.78764640055847
COX20,0.812010272030392,5.54871226398194,3.54845788599963,0.00395612711730814,0.019180469721686,-2.83449881212329
KIAA1644,5.37720081074011,-0.861774374074659,3.54842558158024,0.00395636320799074,0.019180469721686,-1.89720485271225
RPS6KA3,1.34511762962757,7.15859452588195,3.54827068179065,0.00395749546309086,0.019180469721686,-2.85828461550128
MGLL,4.17238282877482,4.16993358130684,3.54776038752856,0.00396122784570374,0.019185827080054,-2.64635512375946
MIER2,0.57368045867265,4.83408434904817,3.54755248275467,0.00396274952662108,0.019185827080054,-2.76440852381805
KLC3,1.43026266749349,-0.910228592109696,3.54657487634096,0.00396991274175356,0.019205640064411,-1.89596738441116
BRCA2,1.1944784306859,4.34328035004168,3.5437535139835,0.0039906598081488,0.0192904711472614,-2.68980751070555
RAP1B,0.649248969883885,7.28450082935035,3.54367337728092,0.00399125070984991,0.0192904711472614,-2.8661518670377
IL1R2,3.13606535241226,-2.51249360227564,3.54250967487883,0.00399984152573549,0.0193245450343522,-1.78426225366051
ELOVL3,2.07807144061599,-2.25356226311174,3.54176484034205,0.00400535001698926,0.019336800973809,-1.80078480313746
DCBLD2,2.39666325367183,8.36745079869118,3.54008112465228,0.00401783059902512,0.0193894897333049,-2.86136604607874
IGFN1,4.61238463097285,-1.93708056452166,3.53996933006695,0.0040186606808153,0.0193894897333049,-1.82457103575329
PUS10,0.886095719863203,2.04509612144532,3.53979133480695,0.00401998266742628,0.0193903010120834,-2.22481818870023
ZNF26,0.734133590924638,3.9732124582672,3.53673599387269,0.00404274417788532,0.0194721455744806,-2.62319690602422
FBXO45,1.34434347995482,5.22141569014815,3.53542562756831,0.00405254627217955,0.0195081753377191,-2.83242412981029
LARS,0.620766218900494,7.68408488005927,3.53404081168895,0.00406293160322565,0.019546969823134,-2.88179643087826
ANKRD55,2.2671952837318,-2.23675777227291,3.53346220800454,0.0040672788301022,0.019562284127037,-1.81619274470948
CMAS,0.893537767219805,5.64810606950383,3.53264539151072,0.00407342389203334,0.0195806317235756,-2.87032907519283
ETV4,2.68613416398868,5.77526240903318,3.53004507944195,0.0040930495854964,0.0196683001666903,-2.88140335877191
USP39,0.376883863060336,6.39161907386429,3.52991913082556,0.00409400261726169,0.0196683001666903,-2.8958449584384
F2RL1,4.69097965720453,0.675350253819237,3.52770703883591,0.00411077804447608,0.0197289678492559,-2.08843937060974
RARS,1.0237689818131,6.91206195609739,3.52717952273665,0.00411478879978329,0.0197355198282061,-2.89941915119502
SH3BP4,1.65876097178111,7.28782335236407,3.52647493372921,0.00412015207627469,0.0197543953328947,-2.8983289421331
EP400,0.569786069158059,6.77755380859006,3.52456618073501,0.00413471715944664,0.0198016306253921,-2.90525069641495
ZNF460,1.00319781020927,1.02660919833834,3.5197106682679,0.004172004879222,0.0199526616729064,-2.13802786460142
S1PR4,3.89444622301142,-3.00121005764626,3.51968667143214,0.00417219001003231,0.0199526616729064,-1.79835380841807
PRELID1,0.758096128785628,7.49903410887302,3.51897958294285,0.00417764881405295,0.0199730834481251,-2.91122633439059
IKBIP,1.11392544430909,5.82552859185623,3.51836578155155,0.00418239332857419,0.0199900796037228,-2.90552435611417
TONSL,0.937335042369173,5.72666929825792,3.51777256937701,0.00418698390878931,0.0200063305621849,-2.90208114015537
NIPAL3,1.21648197544309,6.44870084030496,3.51690703313638,0.00419369107968421,0.020032682943176,-2.92035799266327
MANBAL,0.533379466118285,6.08413818489435,3.51239564351622,0.00422882807748286,0.0201775854179726,-2.92451806148552
EIF3J,0.822368574184174,6.48185981021305,3.51170967802078,0.0042341969220076,0.0201917364569631,-2.93016746773661
PRKAR2A,0.495994000613232,6.64303578834638,3.51052010840101,0.00424352378306803,0.0202247354436921,-2.93219975698125
CARMIL2,2.62724067752569,-0.902979980870977,3.50974841474081,0.00424958545754168,0.0202478830773995,-1.96210172358116
OGDHL,3.44647582050187,-2.02263245380758,3.50949315576552,0.0042515924634602,0.0202517038969526,-1.8717667369116
TPM3,0.599711747782075,8.9333299555738,3.50852856703473,0.00425918538211782,0.0202821225124653,-2.90973613014794
MYNN,0.729714813016164,4.65589276164614,3.50750633917541,0.00426724708570066,0.0203147556020395,-2.81303382061552
AIM2,3.92011386107072,1.16549343618504,3.50711423466093,0.00427034350178182,0.0203201517908022,-2.17529681697779
SRA1,0.48159017702781,5.51776289580137,3.50510051487463,0.00428628175293434,0.020370747980221,-2.91363343447501
GATAD1,0.415772023091301,5.3868835725996,3.502842728015,0.00430422378194903,0.020444454679382,-2.90808300314079
BCAS2,0.880787242418464,5.21371343778838,3.50182202866792,0.00431236008277157,0.0204773131367551,-2.89452536915308
FKBP1A,0.892880582378682,9.21562827165138,3.5009135068156,0.00431961535182825,0.0205059706179304,-2.91869681500716
SNX18P12,3.29923734092327,-0.804885674157411,3.49688863662578,0.00435190688299422,0.0206301255765072,-1.99435683513147
IARS,0.625389475772216,8.05968608993489,3.49493717314816,0.00436765180689963,0.0206706652289376,-2.9508422450429
CENPE,1.09240350055659,5.71602790242346,3.49491403103039,0.00436783887104775,0.0206706652289376,-2.94436291920145
COX7A2L,0.479767456880649,6.57969421527066,3.49446377174948,0.00437148006454122,0.0206820727715696,-2.96248293810959
RP11-307P22.1,3.4305703817597,-1.53008497442489,3.49048209837955,0.00440381412762717,0.0208116131650097,-1.94151596474152
CDH8,3.20604467899315,-0.889064453905898,3.48952221463747,0.00441164541784552,0.0208369031048044,-1.99939540604886
PMS1,0.749012078775341,4.60849102414488,3.48713044444625,0.00443122057228386,0.0209234789877017,-2.84367415046245
RBM12,0.860379134671771,7.02597606716477,3.48645213680976,0.0044367881683164,0.0209438834743138,-2.97487016445261
RINT1,0.978052182504115,5.12148878090693,3.48528081556013,0.00444641921642887,0.0209834526627597,-2.91616303327966
MYSM1,0.682326214253204,5.59997539560258,3.48447467373276,0.00445305997486867,0.0210088918803111,-2.95754305584863
UGDH,0.769879757487424,5.73282847543916,3.48239583205228,0.00447023145695267,0.0210539009524696,-2.96859887440893
PTPRB,3.23415303825803,0.796162537416229,3.48229357910961,0.00447107781461298,0.0210539009524696,-2.18296260522457
AIMP2,1.2863536206367,5.29070111280728,3.48215076025347,0.00447226021318045,0.0210539009524696,-2.9388371760465
HSPA9,0.602704775965568,8.93445173637678,3.48115872261609,0.00448048208478219,0.0210849906006062,-2.96094512654899
GTPBP10,0.824880929015705,4.66980062730576,3.48012077213462,0.0044891009364781,0.0211196364046793,-2.8664009652679
NAA50,0.920281478849775,7.30491262009189,3.47802915960598,0.00450652037494585,0.0211897243707233,-2.98894493029631
PRPF6,0.420513678872462,7.09171625434539,3.47596830325145,0.00452375091581983,0.0212588462361164,-2.99405434171585
ADAMTS20,2.98669998898255,-3.68430965228131,3.47485413061289,0.00453309425275499,0.0212967986909555,-1.84710236676143
TXLNG,1.31675224459494,5.19839860700487,3.47420227220145,0.00453856976828921,0.0213165637104808,-2.94467603025055
