gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
EPHX4,1.52504944368989,0.933042686374844,11.8122105647469,8.7994763416552e-06,2.59058035956597e-05,3.79125445821234
IGKV2D-28,5.14227898261754,-2.19116443053478,11.8103518769125,8.80851324731687e-06,2.59288418418819e-05,4.33844232051748
BCL2A1,3.06030077993431,0.478566114249009,11.8097680929066,8.81135377868131e-06,2.59336365408575e-05,3.87553580702356
CYP2B6,1.85991734657708,0.46143302324366,11.8039535736807,8.83970272438264e-06,2.60075848764779e-05,3.87557426360866
ENO1P2,2.76793007812626,0.385675447720026,11.8009654316685,8.85431200704923e-06,2.60421657120894e-05,3.89044533756615
CCDC168,0.897457926770023,2.14096342820193,11.7964839917333,8.87627380829119e-06,2.60995862507015e-05,3.62352594824474
KCNJ14,1.23382632321464,2.14054855718865,11.7923898356881,8.89639200968855e-06,2.61551481021104e-05,3.6210297842508
GPR15,5.27287684819567,-2.12293899785775,11.7921305807326,8.89766770814581e-06,2.61553058587343e-05,4.32240548814704
NTRK1,1.73849674294295,0.880379757466208,11.7902106199931,8.90712162746929e-06,2.61747991816578e-05,3.78643204615502
RP4-569D19.5,1.55113262424476,-0.0854985158875051,11.7836588508966,8.93946902171735e-06,2.62637550407435e-05,3.98917656061274
KIAA1147,0.667867948166324,5.80922681878645,11.7805577979523,8.95482624824652e-06,2.63042739287678e-05,3.11930979523096
PRAMEF14,5.1696926947974,-2.17460875971276,11.7803440572026,8.95588585654043e-06,2.63042739287678e-05,4.31993880445938
RPLP0P2,1.56157517596829,2.28798764369125,11.7801299249559,8.95694754907536e-06,2.63042739287678e-05,3.59451958118155
CAMKK1,0.726723074775515,4.39910777923874,11.7790650349859,8.96222952989045e-06,2.63161748701119e-05,3.22990328760887
ZNF789,0.731531235924111,4.43787102166906,11.7784975871473,8.96504558965123e-06,2.63177719476015e-05,3.22308170477956
BRSK1,0.857445088682102,4.01347679235941,11.7784598927911,8.9652326902753e-06,2.63177719476015e-05,3.29979366504073
SLC25A40,0.726975487857544,4.92022761551488,11.7766143887872,8.97439852862708e-06,2.63410657855465e-05,3.15639428222704
ENHO,1.69496667660333,1.28425102159712,11.7744001493034,8.98540982968433e-06,2.63697691738288e-05,3.71624013050979
POM121L9P,2.19960336203925,1.13915396275349,11.7694350927034,9.01015687368361e-06,2.643514565695e-05,3.73310999047071
NCAPH,1.26536344169282,3.92056403021022,11.7657393185803,9.02862798354911e-06,2.64857078854032e-05,3.30975583836213
PDZPH1P,4.77601661446071,-0.378270742253619,11.7610227735965,9.05226357265062e-06,2.65477661339328e-05,4.04030969836009
DYRK4,0.697057907183819,4.44788148443088,11.7604568653578,9.05510419588125e-06,2.65524585702762e-05,3.21011119327436
ZNF679,7.00295293897191,-1.0158022418273,11.7556882243907,9.0790812086155e-06,2.66118289657625e-05,4.15896396148753
RP5-862P8.2,1.33360851849205,1.91127549819349,11.7510470338923,9.10248695794785e-06,2.66767805505899e-05,3.62374643034315
LRRC36,1.64521151827324,1.3112468937108,11.7505687631331,9.10490280990029e-06,2.66802073987262e-05,3.69781623286023
MYB,1.11395271840631,3.49096153756124,11.7483720380267,9.11600835513035e-06,2.67090933367358e-05,3.38240137341109
LINC00634,5.2811973575633,-1.59510574168623,11.7459409510107,9.12831673278511e-06,2.67414950768957e-05,4.23908550984178
